map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-BOUP,H51-TERL,0.330078125,0.33007812499999994,0.3804093140297802
H51-BOUP,H51-TERP,0.986328125,0.9863281249999998,0.988888888888889
H51-BOUP,H51-VEGA,0.39453125,0.3945312499999999,0.443744029261693
H51-BOUP,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.705078125,0.7050781249999999,0.7430813593842122
H51-BOUP,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.708984375,0.7089843749999999,0.7465295327456238
H51-BOUP,tianjin-latest-free.shp-gis_osm_natural_free_1,0.984375,0.9843749999999998,0.9872826467470138
H51-BOUP,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.72265625,0.7226562499999999,0.7598240786321278
H51-BOUP,tianjin-latest-free.shp-gis_osm_places_free_1,0.978515625,0.9785156249999998,0.9824890588439189
H51-BOUP,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.720703125,0.7207031249999999,0.7578008964804959
H51-BOUP,tianjin-latest-free.shp-gis_osm_pofw_free_1,1.0,0.9999999999999998,1.0000000000000002
H51-BOUP,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7109375,0.7109374999999999,0.7492284881492686
H51-BOUP,tianjin-latest-free.shp-gis_osm_pois_free_1,0.978515625,0.9785156249999998,0.9824890588439189
H51-BOUP,tianjin-latest-free.shp-gis_osm_railways_free_1,0.513671875,0.5136718749999999,0.5617182512195953
H51-BOUP,tianjin-latest-free.shp-gis_osm_roads_free_1,0.6953125,0.6953124999999999,0.7341128721351309
H51-BOUP,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.712890625,0.7128906249999999,0.7502980533876642
H51-BOUP,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.9609375,0.9609374999999998,0.9679257216740593
H51-BOUP,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.716796875,0.7167968749999999,0.7543719331480049
H51-BOUP,tianjin-latest-free.shp-gis_osm_transport_free_1,0.9765625,0.9765624999999998,0.9808724717621583
H51-BOUP,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.65234375,0.6523437499999999,0.6977940381619046
H51-BOUP,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.626953125,0.6269531249999999,0.6731957907076774
H51-BRGA,H51-BRGL,0.890625,0.8906249999999998,0.9097957667721553
H51-BRGA,H51-BRGP,0.646484375,0.6464843749999999,0.6948190043266296
H51-BRGA,H51-CPTL,0.921875,0.9218749999999998,0.9357687209539909
H51-BRGA,H51-HFCA,0.9296875,0.9296874999999998,0.9419904294043493
H51-BRGA,H51-HFCL,0.916015625,0.9160156249999998,0.9309451708459807
H51-BRGA,H51-HFCP,0.634765625,0.6347656249999999,0.6832667180756565
H51-BRGA,H51-HYDA,0.490234375,0.4902343749999999,0.5492942180025514
H51-BRGA,H51-HYDL,0.85546875,0.8554687499999998,0.8800974571261825
H51-BRGA,H51-HYDP,0.64453125,0.6445312499999999,0.6931201803551708
H51-BRGA,H51-LFCL,0.818359375,0.8183593749999998,0.8494592364726377
H51-BRGA,H51-LFCP,0.64453125,0.6445312499999999,0.6935591320220839
H51-BRGA,H51-LRDL,0.861328125,0.8613281249999998,0.8848160661400035
H51-BRGA,H51-LRRL,0.845703125,0.8457031249999998,0.8712919706037621
H51-BRGA,H51-RESA,0.953125,0.9531249999999998,0.9614943215300457
H51-BRGA,H51-RESP,0.64453125,0.6445312499999999,0.6931201803551708
H51-BRGA,H51-RFCA,0.90234375,0.9023437499999998,0.9194744451420719
H51-BRGA,H51-RFCP,0.646484375,0.6464843749999999,0.6948190043266296
H51-BRGA,H51-TERL,0.568359375,0.5683593749999999,0.627984251247978
H51-BRGA,H51-TERP,0.646484375,0.6464843749999999,0.6948190043266296
H51-BRGA,H51-VEGA,0.6640625,0.6640624999999999,0.713811322457733
H51-BRGA,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.76953125,0.7695312499999998,0.8078147789945618
H51-BRGA,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.787109375,0.7871093749999998,0.8227549642959059
H51-BRGA,tianjin-latest-free.shp-gis_osm_natural_free_1,0.646484375,0.6464843749999999,0.6948190043266296
H51-BRGA,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.78125,0.7812499999999998,0.8178673110426629
H51-BRGA,tianjin-latest-free.shp-gis_osm_places_free_1,0.64453125,0.6445312499999999,0.6935591320220839
H51-BRGA,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.779296875,0.7792968749999998,0.8165030610336061
H51-BRGA,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.65234375,0.6523437499999999,0.7007694879155333
H51-BRGA,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.775390625,0.7753906249999998,0.8124429819701121
H51-BRGA,tianjin-latest-free.shp-gis_osm_pois_free_1,0.64453125,0.6445312499999999,0.6935591320220839
H51-BRGA,tianjin-latest-free.shp-gis_osm_railways_free_1,0.74609375,0.7460937499999999,0.7860952746533838
H51-BRGA,tianjin-latest-free.shp-gis_osm_roads_free_1,0.783203125,0.7832031249999998,0.8179698687026454
H51-BRGA,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.77734375,0.7773437499999998,0.8146088755405009
H51-BRGA,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.6328125,0.6328124999999999,0.6811035659810515
